Section,Category,#,Question,Response Type,Response,Rating Guide (if applicable),Comments,Rating 1,Rating 2,Rating 3,Rating 4,Rating 5
Tenant Lifecycle Management,Onboarding automation,1,How do you manage the onboarding of your customers to your service?,Rating,,,,"Customer onboarding relies entirely on manual processes without documented procedures, requiring operations teams to manually provision tenant accounts, configure access controls, and update core systems including user management and billing systems. New tenant provisioning is ad-hoc and inconsistent, often taking days or weeks to complete with high risk of configuration errors and security gaps.","Onboarding processes are documented through standard operating procedures with manual data collection and provisioning workflows managed by dedicated operations teams. Customer information is manually entered into service systems and core systems of record including identity management, billing platforms, and tenant configuration databases with basic validation and approval workflows.","Onboarding processes are fully documented and largely automated through integration APIs and workflow orchestration tools that automatically collect customer information and provision tenant resources. Automated provisioning includes tenant database creation, user account setup, service tier configuration, and integration with core systems of record with minimal manual intervention required only for complex customizations.","Onboarding process is fully automated and exposed as a self-service capability through customer portals or APIs, enabling tenants to provision their own environments with real-time resource allocation and configuration. Automated workflows handle tenant isolation setup, service tier provisioning, billing integration, and compliance policy application with immediate service activation and comprehensive onboarding analytics.","Onboarding process performance is continuously optimized through comprehensive KPI monitoring including time-to-value metrics, customer satisfaction scores (CSAT), conversion rates, and operational efficiency measurements. Advanced analytics drive automated A/B testing of onboarding flows, predictive resource provisioning based on tenant characteristics, and machine learning-powered optimization of the customer experience with real-time feedback loops."
Tenant Lifecycle Management,Tenant updates automation,2,How do you update the infrastructure and dependencies used by your tenants after their initial deployment ?,Rating,,,,"Tenant updates are performed manually through scheduled maintenance windows requiring extended service downtime lasting several hours to days, occurring only a few times per year due to operational complexity.
Updates are limited to basic software patches and tooling upgrades applied through manual deployment processes without automated rollback capabilities, creating significant business disruption and operational risk for both providers and tenants.","Tenant updates primarily focus on software and tooling upgrades that are manually deployed with planned service downtime, while infrastructure updates require complete environment rebuilds involving complex tenant data migration projects.
Infrastructure modernization is treated as major customer-facing initiatives requiring extensive planning, coordination, and project management with dedicated migration teams and extended timelines spanning weeks or months.","Tenant updates may require planned service downtime with software and tooling updates largely automated through CI/CD pipelines and deployment orchestration tools.
Infrastructure updates remain predominantly manual processes requiring operations teams to coordinate resource provisioning, configuration management, and data migration with basic automation for routine tasks but manual intervention for complex infrastructure changes.","Tenant updates may require brief planned service downtime with fully automated software and tooling deployment pipelines enabling on-demand updates through blue-green deployments and canary releases.
Infrastructure updates are predominantly automated through infrastructure-as-code templates, automated provisioning workflows, and orchestrated migration processes with minimal manual intervention required only for complex customizations or edge cases.","Tenant updates are automatically deployed according to predefined maintenance windows and SLA agreements with customers, utilizing zero-downtime deployment strategies including rolling updates, feature flags, and automated rollback mechanisms. Infrastructure updates are fully automated and deployed on-demand through advanced orchestration platforms that handle resource provisioning, configuration drift detection, automated testing, and seamless tenant migration with comprehensive monitoring and automated incident response."
Tenant Lifecycle Management,Decommissioning automation,3,How do you manage the decommissioning of your customers from your service?,Rating,,,,"Customer decommissioning lacks defined processes or procedures, resulting in tenant data and infrastructure resources remaining indefinitely in the system without cleanup or removal. Customer records persist across all core systems including user management, billing platforms, and service databases, creating ongoing storage costs, security risks, and compliance violations with no systematic approach to data retention or deletion.","Decommissioning processes are partially documented through basic procedures that require manual operations teams to selectively delete tenant data from primary service databases while preserving records in core systems. Manual data deletion is inconsistent and incomplete, often missing associated resources like file storage, cached data, and integrated system records, leading to data sprawl and potential compliance issues.","Decommissioning processes are fully documented with comprehensive procedures covering tenant data deletion, infrastructure resource cleanup, and core system record management executed primarily through manual operations. Manual workflows include systematic removal of tenant databases, storage buckets, user accounts, and billing records with verification steps and audit trails, though execution remains time-intensive and prone to human error.","Decommissioning processes are fully documented and implemented through automated workflows that orchestrate tenant resource cleanup across service infrastructure, data stores, and integrated systems. Automated decommissioning includes scheduled data deletion, infrastructure resource deprovisioning, account deactivation, and core system record archival with compliance-driven retention policies and comprehensive audit logging.","Decommissioning process performance is continuously optimized through comprehensive KPI monitoring including cleanup completion times, cost recovery metrics, compliance adherence rates, and operational efficiency measurements. Advanced analytics drive automated optimization of decommissioning workflows, predictive resource cleanup scheduling, and machine learning-powered identification of orphaned resources with real-time performance dashboards and continuous process improvement."
Tenant Isolation Management,Data Isolation,4,How do you ensure that the data and infrastructure resources of one tenant are not visible to other tenants?,Rating,,,,"Data isolation relies primarily on application-level controls with tenant-scoped queries, row-level security policies, and database constraints. Manual processes are used to verify tenant separation, with limited automation for compliance monitoring.","Infrastructure resources are statically isolated using dedicated boundaries (AWS Accounts, VPCs, database instances) with standardized deployment templates. Isolation decisions are made at onboarding time based on tenant tier, with limited ability to change isolation levels post-deployment.",Service infrastructure uses configurable isolation patterns that combine shared and dedicated resources based on tenant requirements and compliance needs. Isolation strategies are defined through infrastructure-as-code templates with some runtime flexibility for resource allocation.,"Service control plane automatically select and provision appropriate isolation mechanisms at runtime using policy-driven decisions based on tenant service tiers, workload patterns, compliance requirements, and cost optimization goals.","Tenants can select their preferred isolation level through service tiers, with the system dynamically provisioning and managing the appropriate isolation mechanisms (from logical separation to dedicated infrastructure) while automatically applying tenant-scoped policies."
Tenant Isolation Management,Resource Performance,5,How do you manage the potential impact of one tenant usage on the performance of the service for other tenants?,Rating,,,,"All tenants share the same underlying infrastructure with no resource isolation, performance boundaries, or usage monitoring between tenant workloads. Service performance relies on over-provisioned shared resources with no SLA enforcement, allowing unlimited resource consumption that can impact overall system performance for all tenants.",Basic quotas and rate limits are applied to shared infrastructure components to prevent global outages and cost overruns. Service over-usage is managed through application-level errors and degrade user experience during resource contention scenarios.,Service resource over-usage is automatically detected through monitoring systems. Application leverages retry mechanisms to preserve user experience.,Auto-scaling and load-balancing mechanisms are implemented across application nodes with dynamic resource allocation based on demand patterns. Infrastructure automatically scales compute resources and distributes workloads to maintain performance levels during peak usage periods.,"Resource consumption and isolation is comprehensively managed and monitored at the tenant level using dedicated resource pools and performance boundaries. SLA enforcement is implemented for every resource type including compute, storage, network, and application-level resources, ensuring complete tenant isolation with guaranteed performance levels and automated remediation of resource contention issues."
Tenant Isolation Management,Solution Customization,6,How do you manage customizations in your service?,Rating,,,,"Service customization is only available when tenants use dedicated infrastructure with isolated deployment environments, requiring manual operations by service teams. Custom configurations are tightly coupled to infrastructure provisioning, creating deployment bottlenecks and negatively impacting service lifecycle agility.","Service customization is limited to predefined areas with basic configuration options and no formal contracts or schemas governing customization boundaries. Documentation coverage is incomplete, and service migrations may break existing customizations due to lack of backward compatibility guarantees.","Customization capabilities are governed by formal contracts and schemas that are versioned and managed through established lifecycle processes. Most customization points require direct service modifications as they do not follow inversion of control patterns, though change management processes ensure some backward compatibility.",Most customization points implement inversion of control patterns enabling tenant administrators to install and manage custom components independently through standardized interfaces. Tenant-specific customizations can be deployed and managed without requiring service team intervention for routine configuration changes.,"Service customization is fully isolated per tenant regardless of infrastructure sharing model, supporting both shared and dedicated scenarios through comprehensive inversion of control patterns. Customization hooks use documented, versioned APIs that are automatically managed through tenant administration interfaces with full lifecycle support including rollback capabilities."
Billing and Metering,Service usage metrics,7,How do you measure the usage of your service?,Rating,,,,Service usage is not metered.,"Service usage is metered on some endpoints (API) and for some internal resources (compute, storage, database...)",Most service endoints (e.g. APIs) are metered as well as some internal resources. Some internal dashboards provide metrics (mostly technical) on service usage.,Service metering insights (technical and business) are available in internal dashboards. A few metrics (business or technical) are also available to the tenant administrator.,Service detailed metering is available per tenant and provides detailed insights on how service components are used. Metering dashboards are available across the organization as well as to the tenant administrator.
Billing and Metering,Service usage limits,8,How do you enforce the usage of your service within a range?,Rating,,,,No limit enforced.,Some limits are enforced globally (for all tenants) to protect the shared infrastructure.,Some limits are described in service tiers and usage against these limits is monitored. Manual actions are taken with the tenant if over use is detected.,"Some limits are defined and enforced at an infrastructure resource level (compute, storage...).",Service endpoints and internal resource usage are metered and limits are applied/enforced per tenant at an infrastructure level. Limits are documented in service tiers. Over usage is signaled to the tenant.
Billing and Metering,Billing events management,9,How do you map the usage of your tenants to their service fee?,Rating,,,,"Service fees are computed based on a single fixed monthly or annual subscription rate for all tenants. Over-usage is not monitored or billed, leading to potential revenue loss. Tiering is non-existent, with all customers charged the same flat rate regardless of usage patterns.","Service fees incorporate basic usage metrics such as active user count or storage volume, calculated at the end of each billing cycle. Over-usage beyond a predefined threshold triggers alerts, but additional charges are manually calculated and added to invoices.","Service fees are computed based on actual usage across multiple dimensions (e.g., API calls, data processed, storage). Automated over-usage billing applies pre-defined rates for consumption beyond plan limits. Several pricing tiers are supported, each with distinct usage limits and overage rates.","Service fees are calculated using precise tracking of resource consumption, including time-based metrics and feature-specific usage. Over-usage charges are prorated and applied in real-time, with automated notifications to customers. Tiering model includes multiple plan options with varying combinations of resource allocations and feature access.","Service fees are computed using a sophisticated rules engine that accounts for complex usage scenarios, volume discounts, and usage commitments. Over-usage management includes flexible thresholds, grace periods, and tiered overage rates. Extensive tiering framework supports multiple product lines, add-ons, and usage-based feature activation within each tier."
Billing and Metering,Cost Management,10,How do you monitor and manage the cost of your tenants?,Rating,,,,"Cloud costs are not actively monitored or tracked across services. Financial visibility is limited to monthly billing statements with no systematic cost analysis or optimization efforts. Cost management is reactive, typically triggered only by unexpected billing alerts or budget overruns.",Service costs are reviewed periodically by financial teams using basic cloud billing reports and cost management dashboards. Monthly or quarterly cost reviews focus on overall spending trends with limited service-level granularity. Cost allocation relies on manual processes and basic resource tagging strategies.,Service costs are systematically reviewed by dedicated FinOps teams on a recurring basis using established cost management processes and tools. Basic cost optimization strategies are implemented including Reserved Instances and Savings Plans. Cost tracking uses standardized tagging policies with some automation for cost allocation and reporting.,"Service costs are closely monitored at both service and tenant levels using automated cost tracking and allocation systems. Engineering teams actively collaborate with FinOps to monitor and optimize costs through multiple approaches including financial optimization ( Reserved Instances, Spot instances), architectural optimization (serverless adoption, resource rightsizing), and operational optimization. Per-tenant cost analysis enables detailed cost attribution and chargeback models.","Cost efficiency is comprehensively measured and managed at service and tenant levels with full cost attribution and optimization automation. Engineering teams integrate cost optimization into development workflows with predictive cost modeling, automated resource optimization based on usage patterns, and dynamic cost allocation. Advanced tenant-level cost analysis drives pricing strategies, service tier optimization, and automated cost-based scaling decisions."
